Sector,Coordinates
Sector srinivas nagar colony,"17.4932° N, 78.4160° E"
Sector sp nagar,"17.4959° N, 78.3892° E"
Sector near airport rci road mallapir,
Sector gulmohar park colony,"17.4749° N, 78.3174° E"
Sector sai baba nagar,"17.3383° N, 78.4890° E"
Sector hafiz baba nagar,"17.3272° N, 78.4908° E"
Sector gaddi annaram,"17.3669° N, 78.5242° E"
Sector neredmet,"17.4684° N, 78.5354° E"
Sector patelguda,"17.5458° N, 78.2861° E"
Sector arunodaya nagar,"17.3309° N, 78.5891° E"
Sector new vivekananda nagar road number 5 chinthal quthbullapur,
Sector megha hills,"17.4421° N, 78.3917° E"
Sector skd nagar,"17.3165° N, 78.5654° E"
Sector dabeerpura,"17.3656° N, 78.4857° E"
Sector picket,"17.4528° N, 78.4986° E"
Sector rambagh colony,"17.3571° N, 78.4299° E"
Sector gollaguda alwal village,"17.4875° N, 78.5011° E"
Sector moosarambagh,"17.3730° N, 78.5164° E"
Sector yamjal,"17.5656° N, 78.5221° E"
Sector saiguda,
Sector kmr estates,
Sector dattatreya nagar,"17.3845° N, 78.4517° E"
Sector charmahal petla burz,"17.3660° N, 78.4649° E"
Sector padmashali colony,"17.4208° N, 78.4933° E"
Sector rameshwaram banda,"17.5560° N, 78.2786° E"
Sector idpl colony,"17.4815° N, 78.4553° E"
Sector patel guda.,"17.5458° N, 78.2861° E"
Sector secretariat colony,"17.4007° N, 78.3836° E"
Sector tirumala nagar colony,"17.3316° N, 78.5185° E"
Sector habsiguda,"17.4066° N, 78.5438° E"
Sector hasthinapuram south,"17.3250° N, 78.5554° E"
Sector uppal adarsh nagar,"17.4135° N, 78.5618° E"
Sector malapur,"17.4465° N, 78.5746° E"
Sector pedda amberpet,"17.3221° N, 78.6441° E"
Sector sita homes colony,"17.3191° N, 78.5285° E"
Sector bodupal,"17.4141° N, 78.5791° E"
Sector vayushakti nagar,
Sector adarsh nagar colony,"17.3718° N, 78.5597° E"
Sector rein bazar,"17.3571° N, 78.4937° E"
Sector venkataramana colony,"17.4821° N, 78.3778° E"
Sector shivapuri colony,"17.3497° N, 78.5402° E"
Sector bhudevinagar,"17.4913° N, 78.5033° E"
Sector kothur,
Sector want sale,
Sector champapet,"17.3444° N, 78.5183° E"
Sector salala barkas,"17.3122° N, 78.4844° E"
Sector parsigutta,"17.4293° N, 78.4958° E"
Sector shamshiguda,"17.5061° N, 78.4027° E"
Sector phool bagh,"17.3358° N, 78.4893° E"
Sector mangapuram,"17.5099° N, 78.4905° E"
Sector ragannaguda,"17.2608° N, 78.5902° E"
Sector azad nagar,"17.3791° N, 78.5221° E"
Sector netaji nagar,"17.3086° N, 78.4233° E"
Sector errakunta,
Sector fab city,
Sector bibinagar,
Sector saroor nagar,"17.3529° N, 78.5357° E"
Sector laxmiguda village,"17.3072° N, 78.4489° E"
Sector vijaynagar colony,"17.3947° N, 78.4515° E"
Sector srisailam highway,
Sector shastri puram,"17.3275° N, 78.4475° E"
Sector rakshapuram colony,
Sector pochhama basti,"17.3623° N, 78.5360° E"
Sector indraprasth colony,"17.4043° N, 78.5171° E"
Sector himayat nagar,"17.4021° N, 78.4840° E"
Sector chaitanyapuri,"17.3760° N, 78.5371° E"
Sector near tea time,
Sector mushk mahal,"17.3658° N, 78.4304° E"
Sector yellareddy guda,"17.4920° N, 78.5641° E"
Sector ibrahimpatnam,
Sector hema nagar colony,"17.4230° N, 78.5659° E"
Sector chowdariguda panchayat office,"17.4142° N, 78.6493° E"
Sector mahindra hills,
Sector mayur marg,"17.4419° N, 78.4617° E"
Sector borabanda,"17.4535° N, 78.4130° E"
Sector mlr colony,"17.3206° N, 78.5231° E"
Sector salarjung colony,"17.4008° N, 78.4183° E"
Sector sowjanya colony,"17.4688° N, 78.4745° E"
Sector ram nagar colony,"17.4990° N, 78.3316° E"
Sector rahmat nagar,"17.4405° N, 78.4228° E"
Sector aghapura,"17.3882° N, 78.4645° E"
Sector malkapur,
Sector pasumamula,"17.3484° N, 78.6470° E"
Sector phase 1,"17.4448° N, 78.3999° E"
Sector hmt officers colony,"17.5174° N, 78.4965° E"
Sector lothkunta,"17.4958° N, 78.5128° E"
Sector priya colony kakaguda oppto broke bond colony,
Sector srt colony,"17.3588° N, 78.4942° E"
Sector sayeedabad colony,"17.3575° N, 78.5110° E"
Sector jahanuma,"17.3395° N, 78.4610° E"
Sector thorrur,"17.2912° N, 78.6129° E"
Sector venkanna hills,"17.5003° N, 78.4626° E"
Sector doodh bowli,"17.3560° N, 78.4617° E"
Sector falaknuma,"17.3324° N, 78.4699° E"
Sector yousufguda,"17.4340° N, 78.4270° E"
Sector sikh village,"17.4587° N, 78.4880° E"
Sector ram nagar,"17.4126° N, 78.5053° E"
Sector sai nagar,"17.5015° N, 78.4166° E"
Sector pahadi shareef,"17.2668° N, 78.4667° E"
Sector nagaram village,"17.4853° N, 78.6099° E"
Sector hakimpet,"17.5472° N, 78.5352° E"
Sector mumtaz colony,
Sector devender nagar,"17.5264° N, 78.4134° E"
Sector dnm colony,"17.4528° N, 78.4489° E"
Sector choutuppal,
Sector chaderghat,"17.3757° N, 78.4940° E"
Sector katedhan,"17.3080° N, 78.4324° E"
Sector mirjalguda,"17.4445° N, 78.5313° E"
Sector rampally road,
Sector jillelguda,"17.3318° N, 78.5298° E"
Sector west hanuman nagar,"17.4180° N, 78.5902° E"
Sector karkhana,"17.4615° N, 78.5004° E"
Sector vinayaka hills,"17.3080° N, 78.5494° E"
Sector deepthisri nagar,"17.5016° N, 78.3380° E"
Sector musheerabad park,"17.4203° N, 78.5008° E"
Sector father balaiah nagar,"17.5078° N, 78.4944° E"
Sector saibaba colony,"17.3616° N, 78.5321° E"
Sector pratap singaram,
Sector shankarnagar peerzadiguda near bandi garden,
Sector saubhaya nagar colony,"17.3749° N, 78.5565° E"
Sector panch sheela colony,"17.4876° N, 78.4340° E"
Sector kazipally,"17.5699° N, 78.3487° E"
Sector sai krishna colony,"17.4751° N, 78.4816° E"
Sector bangalore highway,
Sector keemti colony,"17.4314° N, 78.5388° E"
